index,Time,Open,High,Low,Close,Daily,Range,ADR,ADR_min,Fractal,Swing_Price,Swing_Type,Hour,Swing_Difference,Time_Difference,Retracement,pip_move,end_index,Swing_Length,Next_Swing,Largest_bar
139428,2020-11-16 15:00:00,1.18296,1.18493,1.18283,1.18442,2020-11-16 00:00:00,0.0021,0.002012,0.00402,U,1.18493,F,15,0.00235,0,0.543981481,0.00235,139429,1,T,0.00235
139429,2020-11-16 15:15:00,1.18444,1.18466,1.18252,1.18339,2020-11-16 00:00:00,0.00214,0.002012,0.00402,D,1.18252,T,15,-0.00241,0,1.025531915,0.00241,139431,1,S,0.00241
139431,2020-11-16 15:45:00,1.18441,1.1849,1.18329,1.18336,2020-11-16 00:00:00,0.00161,0.002012,0.00402,U,1.1849,S,15,0.00238,0,0.987551867,0.00238,139434,2,T,0.00241
139434,2020-11-16 16:30:00,1.18248,1.18296,1.18143,1.18152,2020-11-16 00:00:00,0.00153,0.002012,0.00402,D,1.18143,T,16,-0.00347,0,1.457983193,0.00347,139487,3,E,0.0027
139487,2020-11-17 05:45:00,1.18658,1.1867,1.1861,1.18626,2020-11-17 00:00:00,0.0006,0.00172875,0.00346,U,1.1867,E,5,0.00527,1,1.518731988,0.00527,139508,53,S,0.00182
139508,2020-11-17 11:00:00,1.18462,1.18594,1.18426,1.18592,2020-11-17 00:00:00,0.00168,0.00172875,0.00346,D,1.18426,S,11,-0.00244,0,0.462998102,0.00244,139522,21,T,0.00134
139522,2020-11-17 14:30:00,1.18854,1.18858,1.18758,1.18758,2020-11-17 00:00:00,0.001,0.00172875,0.00346,U,1.18858,T,14,0.00432,0,1.770491803,0.00432,139527,14,S,0.00232
139527,2020-11-17 15:45:00,1.18696,1.18813,1.18667,1.18807,2020-11-17 00:00:00,0.00146,0.00172875,0.00346,D,1.18667,S,15,-0.00191,0,0.44212963,0.00191,139531,5,T,0.00139
139531,2020-11-17 16:45:00,1.18857,1.18938,1.18844,1.18859,2020-11-17 00:00:00,0.00094,0.00172875,0.00346,U,1.18938,T,16,0.00271,0,1.418848168,0.00271,139538,4,E,0.00214
139538,2020-11-17 18:30:00,1.18682,1.18693,1.18578,1.18655,2020-11-17 00:00:00,0.00115,0.00172875,0.00346,D,1.18578,E,18,-0.0036,0,1.328413284,0.0036,139540,7,S,0.00214
139540,2020-11-17 19:00:00,1.18762,1.18776,1.18696,1.187,2020-11-17 00:00:00,0.0008,0.00172875,0.00346,U,1.18776,S,19,0.00198,0,0.55,0.00198,139578,2,T,0.00188
139578,2020-11-18 04:30:00,1.1855,1.18555,1.18504,1.18512,2020-11-18 00:00:00,0.00051,0.0014845,0.00297,D,1.18504,T,4,-0.00272,0,1.373737374,0.00272,139605,38,E,0.0014
139605,2020-11-18 11:15:00,1.18894,1.18912,1.18857,1.18872,2020-11-18 00:00:00,0.00055,0.0014845,0.00297,U,1.18912,E,11,0.00408,0,1.5,0.00408,139627,27,S,0.00134
139627,2020-11-18 16:45:00,1.18548,1.1861,1.18515,1.18594,2020-11-18 00:00:00,0.00095,0.0014845,0.00297,D,1.18515,S,16,-0.00397,0,0.973039216,0.00397,139635,22,F,0.0018
139635,2020-11-18 18:45:00,1.1868,1.18768,1.18676,1.1875,2020-11-18 00:00:00,0.00092,0.0014845,0.00297,U,1.18768,F,18,0.00253,0,0.637279597,0.00253,139668,8,T,0.00142
